Ticker,Company Name,Exchange,Industry (SIC Description),SIC Code,CIK,State of Incorporation,Fiscal Year End,IPO/First Listed Date,Former Name(s),SEC Exchange(s),Alpha Vantage Asset Type,Status
A,"AGILENT TECHNOLOGIES, INC.",NYSE,Laboratory Analytical Instruments,3826,1090872,DE,1031,,AGILENT TECHNOLOGIES INC,NYSE,,
AA,Alcoa Corp,NYSE,Primary Production of  Aluminum,3334,1675149,DE,1231,,Alcoa Upstream Corp,NYSE,,
AADX,"Applied Aerospace & Defense, Inc.",NYSE,"Aircraft Parts & Auxiliary Equipment, NEC",3728,2118195,DE,1231,,,NYSE,,
AAL,American Airlines Group Inc.,NASDAQ,"Air Transportation, Scheduled",4512,6201,DE,1231,,AMR CORP,Nasdaq,,
AAME,ATLANTIC AMERICAN CORP,NASDAQ,Life Insurance,6311,8177,GA,1231,,,Nasdaq,,
AAMI,Acadian Asset Management Inc.,NYSE,Investment Advice,6282,1748824,DE,1231,,BrightSphere Investment Group Inc.,NYSE,,
AAOI,"APPLIED OPTOELECTRONICS, INC.",NASDAQ,Semiconductors & Related Devices,3674,1158114,DE,1231,,APPLIED OPTOELECTRONICS INC,Nasdaq,,
AAON,"AAON, INC.",NASDAQ,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,3585,824142,NV,1231,,AAON INC,Nasdaq,,
AAP,ADVANCE AUTO PARTS INC,NYSE,Retail-Auto & Home Supply Stores,5531,1158449,DE,0102,,,NYSE,,
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,NASDAQ,Pharmaceutical Preparations,2834,2023311,E9,1231,,,Nasdaq,,
AAPL,Apple Inc.,NASDAQ,Electronic Computers,3571,320193,CA,0926,,APPLE INC; APPLE COMPUTER INC; APPLE COMPUTER INC/ FA,Nasdaq,,
AARD,"Aardvark Therapeutics, Inc.",NASDAQ,Pharmaceutical Preparations,2834,1774857,DE,1231,,,Nasdaq,,
AAUC,Allied Gold Corp,NYSE,Gold and Silver Ores,1040,1993344,A6,1231,,,NYSE,,
ABAT,AMERICAN BATTERY TECHNOLOGY Co,NASDAQ,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),1400,1576873,NV,0630,,"AMERICAN BATTERY METALS CORP; Oroplata Resources, Inc.",Nasdaq,,
ABBV,AbbVie Inc.,NYSE,Pharmaceutical Preparations,2834,1551152,DE,1231,,,NYSE,,
